Slope_Angle,Cohesion,Friction_Angle,Nail_Inclination,Nail_Length,Drillhole_Diameter,Factor_of_Safety
30,5,5,15,15,200,0.824
30,5,5,20,6,125,0.546
30,5,5,20,6,150,0.546
30,5,5,20,6,175,0.546
30,5,5,20,6,200,0.546
30,5,5,20,9,125,0.592
30,5,5,20,9,150,0.592
30,5,5,20,9,175,0.592
30,5,5,20,9,200,0.592
30,5,5,20,12,125,0.681
30,5,5,20,12,150,0.693
30,5,5,20,12,175,0.701
30,5,5,20,12,200,0.709
30,5,5,20,15,125,0.776
30,5,5,20,15,150,0.806
30,5,5,20,15,175,0.832
30,5,5,20,15,200,0.858
30,5,15,5,6,125,0.988
30,5,15,5,6,150,0.989
30,5,15,5,6,175,0.990
30,5,15,5,6,200,0.991
30,5,15,5,9,125,1.105
30,5,15,5,9,150,1.107
30,5,15,5,9,175,1.108
30,5,15,5,9,200,1.110
30,5,15,5,12,125,1.304
30,5,15,5,12,150,1.321
30,5,15,5,12,175,1.334
30,5,15,5,12,200,1.343
30,5,15,5,15,125,1.550
30,5,15,5,15,150,1.597
30,5,15,5,15,175,1.597
30,5,15,5,15,200,1.597
30,5,15,10,6,125,1.017
30,5,15,10,6,150,1.019
30,5,15,10,6,175,1.021
30,5,15,10,6,200,1.023
30,5,15,10,9,125,1.162
30,5,15,10,9,150,1.167
30,5,15,10,9,175,1.168
30,5,15,10,9,200,1.168
30,5,15,10,12,125,1.379
30,5,15,10,12,150,1.402
30,5,15,10,12,175,1.423
30,5,15,10,12,200,1.438
30,5,15,10,15,125,1.626
30,5,15,10,15,150,1.672
30,5,15,10,15,175,1.672
30,5,15,10,15,200,1.672
30,5,15,15,6,125,1.045
30,5,15,15,6,150,1.048
30,5,15,15,6,175,1.050
30,5,15,15,6,200,1.052
30,5,15,15,9,125,1.213
30,5,15,15,9,150,1.217
30,5,15,15,9,175,1.217
30,5,15,15,9,200,1.217
30,5,15,15,12,125,1.443
30,5,15,15,12,150,1.475
30,5,15,15,12,175,1.501
30,5,15,15,12,200,1.522
30,5,15,15,15,125,1.688
30,5,15,15,15,150,1.737
30,5,15,15,15,175,1.737
30,5,15,15,15,200,1.737
30,5,15,20,6,125,1.077
30,5,15,20,6,150,1.080
30,5,15,20,6,175,1.082
30,5,15,20,6,200,1.084
30,5,15,20,9,125,1.265
30,5,15,20,9,150,1.272
30,5,15,20,9,175,1.278
30,5,15,20,9,200,1.279
30,5,15,20,12,125,1.499
30,5,15,20,12,150,1.540
30,5,15,20,12,175,1.570
30,5,15,20,12,200,1.600
30,5,15,20,15,125,1.748
30,5,15,20,15,150,1.792
30,5,15,20,15,175,1.792
30,5,15,20,15,200,1.792
30,5,25,5,6,125,1.478
30,5,25,5,6,150,1.479
30,5,25,5,6,175,1.480
30,5,25,5,6,200,1.481
30,5,25,5,9,125,1.711
30,5,25,5,9,150,1.714
30,5,25,5,9,175,1.716
30,5,25,5,9,200,1.718
30,5,25,5,12,125,2.051
30,5,25,5,12,150,2.051
30,5,25,5,12,175,2.051
30,5,25,5,12,200,2.051
30,5,25,5,15,125,2.195
30,5,25,5,15,150,2.195
30,5,25,5,15,175,2.195
30,5,25,5,15,200,2.195
30,5,25,10,6,125,1.537
30,5,25,10,6,150,1.540
30,5,25,10,6,175,1.541
30,5,25,10,6,200,1.543
30,5,25,10,9,125,1.813
30,5,25,10,9,150,1.821
30,5,25,10,9,175,1.828
30,5,25,10,9,200,1.834
30,5,25,10,12,125,2.128
30,5,25,10,12,150,2.128
30,5,25,10,12,175,2.128
30,5,25,10,12,200,2.128
30,5,25,10,15,125,2.287
30,5,25,10,15,150,2.287
30,5,25,10,15,175,2.287
30,5,25,10,15,200,2.287
30,5,25,15,6,125,1.594
30,5,25,15,6,150,1.597
30,5,25,15,6,175,1.6
30,5,25,15,6,200,1.603
30,5,25,15,9,125,1.907
30,5,25,15,9,150,1.917
30,5,25,15,9,175,1.923
30,5,25,15,9,200,1.923
30,5,25,15,12,125,2.197
30,5,25,15,12,150,2.197
30,5,25,15,12,175,2.197
